Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C1,C10,C11,C12,C13,C14,C15,C16,C2,C3,C4,C5,C6,C7,C8,C9",C_0603_1608Metric,C14663,16
WS2812B,"D1,D10,D11,D12,D13,D14,D15,D16,D2,D3,D4,D5,D6,D7,D8,D9",WS2812B 5.0x5.0mm,C2843785,16
