Comment,Designator,Footprint,LCSC
100kR,"R1,R10,R2,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R4,R5,R6,R7,R8,R9",R_0805_2012Metric,C149504
10kR,"R11,R12,R13,R14,R15,R16,R31,R32,R33,R34,R35,R36,R42",R_0805_2012Metric,C17414
1K,R41,R_0805_2012Metric,C17513
330Ω,"R17,R18,R37,R38",R_0805_2012Metric,C17630
C,"C2,C3,C5,C6",C_0805_2012Metric,C49678
