12-18 00:00:13 com_github_bouni_kicad-jlcpcb-tools.store 210:Part R46 does not exist in the database and will be created from the board.
12-18 00:00:14 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D21 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:14 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D20 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:14 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D19 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:14 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D18 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:14 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D17 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D16 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D15 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D14 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D13 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D12 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D11 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D10 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
